年月,隧道和大桥类别,行驶方向,日期,星期,时段,时刻,私家车的士电单车,单层巴士小巴5.5公吨及以下货车,双层巴士及5.5公吨以上货车,车流量
201305,CHT,SB,2013/5/9,4,10 PM,22,2624,305,208,3137
201305,EHC,NB,2013/5/6,1,6 PM,18,2511,487,207,3205
201305,LRT,NB,2013/5/6,1,6 PM,18,2300,375,357,3032
201305,ABT,NB,2013/5/3,5,7 AM,07,1669,436,393,2498
201305,LTL,EB,2013/5/31,5,6 PM,18,2158,504,343,3005
201305,KTT,WB,2013/5/11,6,9 AM,09,,,,2623
201306,LRT,SB,2013/6/7,5,7 AM,07,2164,472,456,3092
201306,SMT,WB,2013/6/7,5,8 AM,08,1429,470,277,2176
201306,TCT,NB,2013/6/25,2,6 PM,18,2154,389,294,2837
201306,CHT,SB,2013/6/10,1,10 PM,22,2621,281,223,3125
201306,TLT,NB,2013/6/10,1,7 PM,19,1711,533,525,2769
201306,LRT,NB,2013/6/3,1,6 PM,18,2193,480,350,3023
201306,TSCA,NB,2013/6/17,1,6 PM,18,1672,338,242,2252
201306,EHC,NB,2013/6/19,3,6 PM,18,2497,459,204,3160
201306,SMT,EB,2013/6/26,3,6 PM,18,1403,478,236,2117
201306,WHC,SB,2013/6/20,4,8 AM,08,2548,627,348,3523
201306,LTL,WB,,,N.A.,N.A.,,,,
201306,ABT,NB,2013/6/3,1,7 AM,07,1758,328,349,2435
201306,EHC,SB,2013/6/25,2,9 AM,09,2165,817,276,3258
201306,TKOT,WB,2013/6/3,1,7 AM,07,2496,563,205,3264
201306,TKOT,EB,2013/6/3,1,6 PM,18,2507,641,272,3420
201306,WHC,NB,2013/6/21,5,6 PM,18,2756,664,200,3620
201306,CHT,NB,2013/6/19,3,11 PM,23,2600,264,202,3066
201306,KTT,EB,2013/6/6,4,9 AM,09,,,,1950
201306,ABT,SB,2013/6/4,2,7 AM,07,1622,368,422,2412
201306,KTT,WB,2013/6/1,6,9 AM,09,,,,2573
201306,LTL,EB,2013/6/28,5,6 PM,18,2366,609,376,3351
201306,TSCA,SB,2013/6/10,1,8 AM,08,2390,376,258,3024
201306,TCT,SB,2013/6/14,5,8 AM,08,2138,399,392,2929
201306,TLT,SB,2013/6/4,2,8 AM,08,2112,770,1014,3896
201307,TCT,SB,2013/7/19,5,8 AM,08,2261,340,352,2953
201307,KTT,WB,2013/7/6,6,9 AM,09,,,,2625
201307,TKOT,WB,2013/7/9,2,8 AM,08,2447,555,259,3261
201307,WHC,NB,2013/7/26,5,6 PM,18,2523,636,209,3368
201307,TSCA,NB,2013/7/12,5,6 PM,18,1655,377,229,2261
201307,EHC,NB,2013/7/11,4,6 PM,18,2422,504,208,3134
201307,ABT,NB,2013/7/3,3,7 AM,07,1379,492,359,2230
201307,LRT,NB,2013/7/3,3,6 PM,18,2162,468,353,2983
201307,TSCA,SB,2013/7/3,3,8 AM,08,2172,393,311,2876
201307,TCT,NB,2013/7/2,2,7 PM,19,2220,276,247,2743
201307,LTL,WB,,,N.A.,N.A.,,,,
201307,CHT,NB,2013/7/4,4,11 PM,23,2555,279,212,3046
201307,SMT,WB,2013/7/8,1,8 AM,08,1441,489,269,2199
201307,SMT,EB,2013/7/12,5,6 PM,18,1406,443,257,2106
201307,EHC,SB,2013/7/5,5,8 AM,08,2439,447,313,3199
201307,ABT,SB,2013/7/30,2,10 AM,10,1578,429,405,2412
201307,TKOT,EB,2013/7/9,2,6 PM,18,2420,599,287,3306
201307,KTT,EB,2013/7/22,1,9 AM,09,,,,1968
201307,CHT,SB,2013/7/18,4,10 PM,22,2590,321,210,3121
201307,LTL,EB,2013/7/5,5,6 PM,18,2085,484,366,2935
201307,TLT,SB,2013/7/4,4,8 AM,08,2113,758,1017,3888
201307,TLT,NB,2013/7/22,1,7 PM,19,1816,651,506,2973
201307,LRT,SB,2013/7/19,5,6 AM,06,1993,628,396,3017
201307,WHC,SB,2013/7/26,5,9 AM,09,2368,761,317,3446
201308,TSCA,SB,2013/8/27,2,8 AM,08,2220,401,297,2918
201308,TSCA,NB,2013/8/20,2,6 PM,18,1732,336,246,2314
201308,LTL,EB,2013/8/9,5,6 PM,18,2221,497,329,3047
201308,KTT,WB,2013/8/5,1,7 AM,07,,,,2862
201308,TLT,NB,2013/8/19,1,7 PM,19,1865,525,526,2916
201308,TKOT,EB,2013/8/26,1,6 PM,18,2481,573,215,3269
201308,KTT,EB,2013/8/8,4,9 AM,09,,,,1950
201308,WHC,NB,2013/8/30,5,6 PM,18,2654,697,218,3569
201308,TLT,SB,2013/8/2,5,8 AM,08,2136,726,994,3856
201308,EHC,NB,2013/8/20,2,6 PM,18,2481,452,175,3108
201308,LRT,SB,2013/8/17,6,6 PM,18,2540,289,235,3064
201308,CHT,SB,2013/8/21,3,10 PM,22,2589,328,209,3126
201308,ABT,NB,2013/8/29,4,7 AM,07,1526,318,421,2265
201308,TCT,SB,2013/8/15,4,8 AM,08,2232,352,371,2955
201308,SMT,EB,2013/8/23,5,6 PM,18,1411,413,267,2091
201308,LRT,NB,2013/8/6,2,6 PM,18,2235,474,287,2996
201308,EHC,SB,2013/8/16,5,10 AM,10,2112,839,284,3235
201308,ABT,SB,2013/8/7,3,10 AM,10,1347,675,515,2537
201308,TKOT,WB,2013/8/22,4,8 AM,08,2436,563,252,3251
201308,CHT,NB,2013/8/29,4,10 PM,22,2542,300,175,3017
201308,SMT,WB,2013/8/27,2,8 AM,08,1408,490,266,2164
201308,LTL,WB,,,N.A.,N.A.,,,,
201308,TCT,NB,2013/8/5,1,7 PM,19,2206,292,240,2738
201308,WHC,SB,2013/8/26,1,8 AM,08,2460,621,360,3441
201309,KTT,WB,2013/9/14,6,9 AM,09,,,,2667
201309,TKOT,WB,2013/9/9,1,7 AM,07,2569,557,210,3336
201309,LTL,WB,,,N.A.,N.A.,,,,
201309,CHT,SB,2013/9/13,5,11 PM,23,2620,287,182,3089
201309,TSCA,SB,2013/9/16,1,8 AM,08,2501,437,241,3179
201309,KTT,EB,2013/9/23,1,9 AM,09,,,,2463
201309,EHC,SB,2013/9/23,1,10 AM,10,2744,319,186,3249
201309,TLT,SB,2013/9/19,4,8 AM,08,2359,730,1029,4118
201309,LRT,SB,2013/9/2,1,7 AM,07,2309,412,396,3117
201309,LRT,NB,2013/9/9,1,6 PM,18,2223,476,317,3016
201309,SMT,WB,2013/9/6,5,8 AM,08,1471,463,280,2214
201309,WHC,NB,2013/9/19,4,6 PM,18,3148,526,197,3871
201309,TKOT,EB,2013/9/9,1,6 PM,18,2504,629,263,3396
201309,LTL,EB,2013/9/13,5,6 PM,18,2330,481,371,3182
201309,TCT,SB,2013/9/6,5,7 AM,07,2393,298,241,2932
201309,CHT,NB,2013/9/30,1,11 PM,23,2547,314,209,3070
201309,ABT,NB,2013/9/6,5,7 AM,07,1769,396,359,2524
201309,TCT,NB,2013/9/19,4,5 PM,17,2566,359,199,3124
201309,TLT,NB,2013/9/19,4,6 PM,18,2678,464,406,3548
201309,ABT,SB,2013/9/18,3,7 AM,07,1699,313,418,2430
201309,WHC,SB,2013/9/13,5,8 AM,08,2678,643,368,3689
201309,SMT,EB,2013/9/19,4,5 PM,17,1637,376,200,2213
201309,EHC,NB,2013/9/19,4,4 PM,16,2452,551,163,3166
201309,TSCA,NB,2013/9/19,4,6 PM,18,2315,265,167,2747
201310,SMT,WB,2013/10/9,3,8 AM,08,1476,474,320,2270
201310,ABT,NB,2013/10/9,3,7 AM,07,1606,490,377,2473
201310,SMT,EB,2013/10/16,3,6 PM,18,1495,439,259,2193
201310,TCT,NB,2013/10/16,3,6 PM,18,2241,366,256,2863
201310,LRT,SB,2013/10/29,2,7 AM,07,2253,451,447,3151
201310,LTL,EB,2013/10/15,2,6 PM,18,2659,556,361,3576
201310,TLT,SB,2013/10/18,5,8 AM,08,2019,694,1014,3727
201310,KTT,WB,2013/10/26,6,9 AM,09,,,,2681
201310,KTT,EB,2013/10/21,1,9 AM,09,,,,1970
201310,CHT,SB,2013/10/20,7,9 AM,09,2275,688,207,3170
201310,LRT,NB,2013/10/19,6,4 PM,16,2152,482,336,2970
201310,TKOT,EB,2013/10/3,4,6 PM,18,2575,560,287,3422
201310,TKOT,WB,2013/10/29,2,7 AM,07,2543,557,225,3325
201310,TLT,NB,2013/10/15,2,6 PM,18,1810,504,596,2910
201310,CHT,NB,2013/10/15,2,10 PM,22,2568,331,186,3085
201310,WHC,NB,2013/10/18,5,6 PM,18,2780,683,209,3672
201310,WHC,SB,2013/10/21,1,8 AM,08,2679,647,393,3719
201310,TCT,SB,2013/10/23,3,7 AM,07,2409,289,261,2959
201310,ABT,SB,2013/10/29,2,7 AM,07,1665,389,442,2496
201310,EHC,SB,2013/10/28,1,9 AM,09,2187,774,322,3283
201310,EHC,NB,2013/10/11,5,6 PM,18,2444,527,220,3191
201310,TSCA,NB,2013/10/30,3,6 PM,18,2075,331,231,2637
201310,LTL,WB,,,N.A.,N.A.,,,,
201310,TSCA,SB,2013/10/22,2,8 AM,08,2431,416,330,3177
201311,TLT,NB,2013/11/15,5,7 PM,19,2287,761,686,3734
201311,CHT,NB,2013/11/28,4,11 PM,23,2601,292,197,3090
201311,ABT,NB,2013/11/8,5,7 AM,07,1694,367,391,2452
201311,SMT,WB,2013/11/21,4,8 AM,08,1510,488,289,2287
201311,KTT,WB,2013/11/9,6,9 AM,09,,,,2655
201311,LTL,EB,2013/11/22,5,6 PM,18,2335,511,354,3200
201311,WHC,SB,2013/11/11,1,8 AM,08,2619,653,405,3677
201311,ABT,SB,2013/11/7,4,7 AM,07,1564,526,424,2514
201311,TCT,NB,2013/11/27,3,6 PM,18,2235,348,243,2826
201311,LRT,SB,2013/11/27,3,7 AM,07,2240,456,434,3130
201311,TCT,SB,2013/11/25,1,8 AM,08,2248,373,376,2997
201311,TSCA,NB,2013/11/18,1,6 PM,18,2000,351,203,2554
201311,LRT,NB,2013/11/18,1,5 PM,17,1916,694,371,2981
201311,LTL,WB,,,N.A.,N.A.,,,,
201311,EHC,NB,2013/11/22,5,6 PM,18,2490,506,207,3203
201311,KTT,EB,2013/11/4,1,9 AM,09,,,,1965
201311,CHT,SB,2013/11/14,4,11 PM,23,2635,300,200,3135
201311,EHC,SB,2013/11/7,4,9 AM,09,2191,767,298,3256
201311,TKOT,WB,2013/11/27,3,7 AM,07,2535,595,223,3353
201311,TKOT,EB,2013/11/18,1,6 PM,18,2705,536,251,3492
201311,SMT,EB,2013/11/11,1,6 PM,18,1460,434,244,2138
201311,WHC,NB,2013/11/15,5,6 PM,18,2909,684,217,3810
201311,TLT,SB,2013/11/26,2,8 AM,08,2223,863,1080,4166
201311,TSCA,SB,2013/11/4,1,8 AM,08,2533,409,258,3200
201312,TCT,SB,2013/12/5,4,7 AM,07,2439,294,250,2983
201312,CHT,SB,2013/12/1,7,9 AM,09,2186,722,224,3132
201312,SMT,WB,2013/12/3,2,8 AM,08,1480,476,316,2272
201312,TLT,SB,2013/12/5,4,8 AM,08,2069,773,998,3840
201312,LRT,NB,2013/12/10,2,5 PM,17,1906,657,425,2988
201312,WHC,NB,2013/12/13,5,6 PM,18,2778,794,222,3794
201312,LTL,WB,,,N.A.,N.A.,,,,
201312,KTT,WB,2013/12/28,6,9 AM,09,,,,2674
201312,TKOT,EB,2013/12/3,2,6 PM,18,2539,651,257,3447
201312,CHT,NB,2013/12/5,4,10 PM,22,2572,344,158,3074
201312,LTL,EB,2013/12/13,5,6 PM,18,2444,477,384,3305
201312,TLT,NB,2013/12/24,2,6 PM,18,2103,610,710,3423
201312,ABT,SB,2013/12/3,2,7 AM,07,1477,502,486,2465
201312,TSCA,SB,2013/12/6,5,8 AM,08,2494,409,318,3221
201312,WHC,SB,2013/12/9,1,8 AM,08,2702,615,374,3691
201312,TKOT,WB,2013/12/4,3,7 AM,07,2558,560,228,3346
201312,ABT,NB,2013/12/9,1,7 AM,07,1556,479,429,2464
201312,EHC,NB,2013/12/24,2,5 PM,17,2402,561,226,3189
201312,EHC,SB,2013/12/13,5,9 AM,09,2241,780,272,3293
201312,SMT,EB,2013/12/18,3,6 PM,18,1443,467,227,2137
201312,LRT,SB,2013/12/21,6,10 AM,10,2160,562,400,3122
201312,TCT,NB,2013/12/24,2,6 PM,18,2235,404,282,2921
201312,KTT,EB,2013/12/30,1,9 AM,09,,,,1954
201312,TSCA,NB,2013/12/16,1,6 PM,18,1856,378,252,2486
201401,EHC,SB,2014/1/13,1,9 AM,09,2239,769,282,3290
201401,WHC,NB,2014/1/17,5,6 PM,18,2814,702,228,3744
201401,TSCA,SB,2014/1/10,5,8 AM,08,2563,419,304,3286
201401,LRT,SB,2014/1/22,3,7 AM,07,2196,530,434,3160
201401,WHC,SB,2014/1/6,1,8 AM,08,2744,649,394,3787
201401,ABT,SB,2014/1/20,1,7 PM,19,1732,352,401,2485
201401,ABT,NB,2014/1/7,2,7 AM,07,1552,458,413,2423
201401,SMT,EB,2014/1/17,5,6 PM,18,1455,427,260,2142
201401,TLT,NB,2014/1/20,1,6 PM,18,1853,629,682,3164
201401,TLT,SB,2014/1/23,4,8 AM,08,2297,781,1060,4138
201401,TCT,SB,2014/1/16,4,8 AM,08,2169,401,416,2986
201401,LTL,EB,2014/1/2,4,6 PM,18,2278,429,315,3022
201401,CHT,NB,2014/1/29,3,3 PM,15,1845,877,322,3044
201401,TKOT,WB,2014/1/21,2,7 AM,07,2515,619,220,3354
201401,TCT,NB,2014/1/27,1,7 PM,19,2274,298,274,2846
201401,EHC,NB,2014/1/24,5,6 PM,18,2532,479,196,3207
201401,KTT,WB,2014/1/4,6,9 AM,09,,,,2671
201401,SMT,WB,2014/1/3,5,8 AM,08,1479,489,304,2272
201401,TKOT,EB,2014/1/27,1,6 PM,18,2658,537,259,3454
201401,LRT,NB,2014/1/18,6,11 PM,23,2516,312,168,2996
201401,LTL,WB,,,N.A.,N.A.,,,,
201401,KTT,EB,2014/1/27,1,9 AM,09,,,,1964
201401,CHT,SB,2014/1/28,2,11 PM,23,2649,309,191,3149
201401,TSCA,NB,2014/1/27,1,6 PM,18,1955,349,227,2531
201402,SMT,EB,2014/2/14,5,6 PM,18,1651,414,186,2251
201402,CHT,SB,2014/2/25,2,10 PM,22,2667,290,188,3145
201402,CHT,NB,2014/2/25,2,10 PM,22,2588,320,168,3076
201402,TKOT,EB,2014/2/17,1,6 PM,18,2632,605,221,3458
201402,ABT,SB,2014/2/25,2,7 AM,07,1739,285,432,2456
201402,TSCA,SB,2014/2/20,4,8 AM,08,2580,427,315,3322
201402,WHC,NB,2014/2/21,5,6 PM,18,2866,623,210,3699
201402,TLT,SB,2014/2/26,3,8 AM,08,2432,948,1170,4550
201402,TSCA,NB,2014/2/14,5,6 PM,18,2080,278,148,2506
201402,WHC,SB,2014/2/24,1,8 AM,08,2670,649,357,3676
201402,EHC,SB,2014/2/14,5,9 AM,09,2371,654,253,3278
201402,LTL,WB,,,N.A.,N.A.,,,,
201402,LTL,EB,2014/2/28,5,6 PM,18,2378,456,395,3229
201402,TCT,NB,2014/2/14,5,6 PM,18,2360,302,218,2880
201402,ABT,NB,2014/2/26,3,7 AM,07,1760,342,389,2491
201402,TLT,NB,2014/2/20,4,6 PM,18,1710,566,571,2847
201402,LRT,NB,2014/2/14,5,6 PM,18,2226,499,276,3001
201402,TKOT,WB,2014/2/25,2,7 AM,07,2537,584,242,3363
201402,LRT,SB,2014/2/14,5,7 AM,07,2278,469,400,3147
201402,EHC,NB,2014/2/28,5,5 PM,17,2208,700,214,3122
201402,SMT,WB,2014/2/24,1,8 AM,08,1544,442,256,2242
201402,KTT,WB,2014/2/8,6,9 AM,09,,,,2669
201402,KTT,EB,2014/2/14,5,4 PM,16,,,,1967
201402,TCT,SB,2014/2/28,5,8 AM,08,2189,378,399,2966
201403,TCT,SB,2014/3/27,4,8 AM,08,2195,389,400,2984
201403,CHT,SB,2014/3/26,3,10 PM,22,2631,319,196,3146
201403,WHC,NB,2014/3/21,5,6 PM,18,2685,655,216,3556
201403,TLT,SB,2014/3/18,2,8 AM,08,2241,798,1105,4144
201403,TLT,NB,2014/3/10,1,7 PM,19,1847,482,517,2846
201403,EHC,SB,2014/3/17,1,9 AM,09,2213,784,282,3279
201403,LRT,SB,2014/3/6,4,7 AM,07,2281,460,408,3149
201403,TCT,NB,2014/3/28,5,7 PM,19,2311,294,265,2870
201403,WHC,SB,2014/3/17,1,8 AM,08,2712,629,381,3722
201403,KTT,WB,2014/3/29,6,9 AM,09,,,,2490
201403,LTL,WB,,,N.A.,N.A.,,,,
201403,CHT,NB,2014/3/11,2,10 PM,22,2520,360,187,3067
201403,TSCA,SB,2014/3/4,2,8 AM,08,2506,466,296,3268
201403,SMT,WB,2014/3/28,5,8 AM,08,1518,587,316,2421
201403,LRT,NB,2014/3/24,1,6 PM,18,2344,387,310,3041
201403,TSCA,NB,2014/3/26,3,6 PM,18,2001,334,220,2555
201403,EHC,NB,2014/3/14,5,6 PM,18,2501,467,188,3156
201403,SMT,EB,2014/3/21,5,6 PM,18,1466,449,251,2166
201403,LTL,EB,2014/3/7,5,6 PM,18,2516,580,387,3483
201403,KTT,EB,2014/3/17,1,9 AM,09,,,,1839
201403,ABT,NB,2014/3/24,1,7 AM,07,1760,341,350,2451
201403,ABT,SB,2014/3/19,3,7 AM,07,1704,298,451,2453
201403,TKOT,EB,2014/3/17,1,6 PM,18,2637,574,238,3449
201403,TKOT,WB,2014/3/24,1,7 AM,07,2560,533,247,3340
201404,KTT,EB,2014/4/24,4,9 AM,09,,,,1831
201404,CHT,NB,2014/4/11,5,11 PM,23,2584,296,177,3057
201404,TKOT,EB,2014/4/8,2,6 PM,18,2589,544,266,3399
201404,TLT,NB,2014/4/3,4,7 PM,19,1781,588,656,3025
201404,TSCA,SB,2014/4/30,3,8 AM,08,2570,421,326,3317
201404,WHC,NB,2014/4/4,5,6 PM,18,2748,669,233,3650
201404,TCT,NB,2014/4/16,3,6 PM,18,2178,386,287,2851
201404,TKOT,WB,2014/4/10,4,7 AM,07,2495,570,216,3281
201404,LRT,SB,2014/4/9,3,7 AM,07,2286,391,415,3092
201404,TLT,SB,2014/4/30,3,8 AM,08,2125,698,1019,3842
201404,EHC,SB,2014/4/29,2,10 AM,10,2134,848,265,3247
201404,LRT,NB,2014/4/28,1,6 PM,18,2273,412,315,3000
201404,CHT,SB,2014/4/18,5,10 AM,10,1918,964,286,3168
201404,LTL,EB,2014/4/15,2,6 PM,18,2684,586,313,3583
201404,ABT,NB,2014/4/30,3,7 AM,07,1704,357,377,2438
201404,ABT,SB,2014/4/4,5,7 AM,07,1676,293,419,2388
201404,EHC,NB,2014/4/11,5,6 PM,18,2515,479,171,3165
201404,KTT,WB,2014/4/12,6,9 AM,09,,,,2413
201404,TCT,SB,2014/4/7,1,8 AM,08,2267,349,374,2990
201404,SMT,WB,2014/4/11,5,8 AM,08,1512,486,308,2306
201404,WHC,SB,2014/4/28,1,8 AM,08,2603,643,396,3642
201404,TSCA,NB,2014/4/29,2,6 PM,18,1970,283,251,2504
201404,SMT,EB,2014/4/4,5,6 PM,18,1499,402,253,2154
201404,LTL,WB,,,N.A.,N.A.,,,,
201405,KTT,WB,2014/5/31,6,9 AM,09,,,,2491
201405,EHC,SB,2014/5/8,4,9 AM,09,2208,746,296,3250
201405,TKOT,WB,2014/5/2,5,8 AM,08,2477,516,269,3262
201405,TSCA,SB,2014/5/12,1,8 AM,08,2581,369,265,3215
201405,TCT,SB,2014/5/30,5,7 AM,07,2428,304,254,2986
201405,SMT,EB,2014/5/16,5,6 PM,18,1509,409,224,2142
